Hora,S/N,TIPO,FALLA
2025-02-23 15:57:38,005224522800D9540000134824,GPS FW VERSION,CAN GPS VER / L26ADRNR01A01V03_BSA | FAIL | FAIL | 3
2025-02-23 15:55:29,005224522800D9540002834824,WIFI CONNECTION,WIFI TEST | FAIL | FAIL | 3
2025-02-23 15:54:37,005224522800D9540001234824,GPS FW VERSION,CAN GPS VER / L26ADRNR01A01V03_BSA | FAIL | FAIL | 3
